CodigoCliente;Titulo;PrimeiroNome;UltimoNome;Idade;Sexo;Endereco;Cidade;UFCompleto;CEP;Pais;PaisCompleto;Email;RendaMensal;PercentualUtilizacaoLimite;QtdTransacoesNegadas;AnosDeRelacionamentoBanco;JaUsouChequeEspecial;QtdEmprestimos;NumeroAtendimentos;TMA;IndiceSatisfacao;Saldo;CLTV;CanalPref;Churn;UF;mail_domain
13;Sra.;Laura;Souza;51;Feminino;Praça Gilberto Guerreiro da Fonseca 100;Florianópolis;Santa Catarina;88015-179;BR;Brazil;LauraOliveiraSouza@teleworm.us;5039;0.23;0;18;1;3;1;1;4;4186;32;Push;0;SC;teleworm.us
14;Sra.;Brenda;Fernandes;39;Feminino;Rua Rosário 1810;Gravataí;Rio Grande do Sul;94025-060;BR;Brazil;BrendaSouzaFernandes@rhyta.com;4722;0.97;13;2;0;5;30;146;2;5834;30;Push;1;RS;rhyta.com
15;Sra.;Ágatha;Carvalho;66;Feminino;Rua Universal 796;São Paulo;São Paulo;08452-400;BR;Brazil;AgathaCostaCarvalho@cuvox.de;8064;0.39;8;13;0;0;1;6;4;6815;32;SMS;0;SP;cuvox.de
16;Sra.;Vitória;Souza;61;Feminino;Rua Samambaia 1738;Teresópolis;Rio de Janeiro;25958-435;BR;Brazil;VitoriaGoncalvesSouza@superrito.com;6483;0.04;10;11;0;0;1;0;4;5034;57;SMS;0;RJ;superrito.com
17;Sr.;Miguel;Souza;37;Masculino;Rua Lauro Rodrigues de Moraes 1603;Jundiaí;São Paulo;13214-626;BR;Brazil;MiguelDiasSouza@jourrapide.com;7831;0.94;7;3;0;0;22;59;1;5363;30;Ligacao;1;SP;jourrapide.com
19;Sr.;Diogo;Barbosa;36;Masculino;Rua Professora Celina Conceição Rocha Leal 1818;Itatiba;São Paulo;13252-823;BR;Brazil;DiogoCunhaBarbosa@superrito.com;9864;0.16;11;9;0;5;1;6;5;2568;36;SMS;0;SP;superrito.com
20;Sr.;Estevan;Martins;29;Masculino;Travessa Olímpio de Oliveira Pacheco 255;Porto Alegre;Rio Grande do Sul;91370-070;BR;Brazil;EstevanMeloMartins@cuvox.de;9395;0.86;7;11;0;1;38;192;2;4799;76;Push;1;RS;cuvox.de
22;Sr.;Vitor;Cunha;65;Masculino;Rua Três 4;Varginha;Minas Gerais;37004-610;BR;Brazil;VitorMartinsCunha@einrot.com;6757;0.97;10;17;0;3;12;116;0;3885;55;Email;1;MG;einrot.com
23;Sra.;Gabrielle;Carvalho;22;Feminino;Alameda dos Coqueiros 1319;São João Del Rei;Minas Gerais;36302-718;BR;Brazil;GabrielleSousaCarvalho@superrito.com;6230;0.33;12;20;0;3;3;3;4;1446;79;Ligacao;0;MG;superrito.com
25;Sra.;Bianca;Sousa;25;Feminino;Praça Mirna 296;Guarulhos;São Paulo;07124-060;BR;Brazil;BiancaBarrosSousa@superrito.com;7918;0.21;1;17;1;0;2;2;4;8852;81;Push;0;SP;superrito.com
26;Sr.;Mateus;Cavalcanti;32;Masculino;Praça Ângelo Moro 1679;Ponta Grossa;Paraná;84050-100;BR;Brazil;MateusBarbosaCavalcanti@fleckens.hu;3794;0.13;12;1;0;3;2;0;5;3232;37;Ligacao;0;PR;fleckens.hu
27;Sra.;Vitoria;Souza;24;Feminino;Rua Humberto de Campos 573;Dourados;Mato Grosso do Sul;79830-130;BR;Brazil;VitoriaDiasSouza@teleworm.us;6426;0.91;12;2;0;4;41;148;4;6968;82;Ligacao;1;MS;teleworm.us
28;Dr.;Alex;Costa;26;Masculino;Rua Doutor Antônio Amarante 1676;Curitiba;Paraná;82650-080;BR;Brazil;AlexCarvalhoCosta@teleworm.us;3925;0.06;4;13;0;4;2;2;5;698;41;Email;0;PR;teleworm.us
29;Sra.;Bruna;Costa;41;Feminino;Rua G 1606;Anápolis;Goiás;75064-130;BR;Brazil;BrunaSouzaCosta@dayrep.com;5329;0.96;1;3;0;1;25;146;3;88610;86;Push;1;GO;dayrep.com
30;Dr.;Bianca;Gomes;40;Feminino;Rua Graciliano Ramos 1263;Porto Alegre;Rio Grande do Sul;91410-110;BR;Brazil;BiancaAraujoGomes@einrot.com;6372;0.84;13;9;1;4;24;90;0;9867;83;SMS;1;RS;einrot.com
31;Sra.;José;Ribeiro;40;Masculino;Avenida Dois 970;São João da Boa Vista;São Paulo;13877-760;BR;Brazil;YasminFernandesGoncalves@superrito.com;6459;0.86;7;10;0;1;43;55;3;67026;35;SMS;1;SP;superrito.com
33;Sra.;Luana;Rocha;45;Feminino;Rua Santa Efigênia 957;Arapiraca;Alagoas;57313-080;BR;Brazil;LuanaRodriguesRocha@cuvox.de;9318;0.43;5;14;0;0;3;2;4;7131;75;Push;0;AL;cuvox.de
34;Sra.;Anna;Martins;61;Feminino;Avenida Professor Francisco Morato 632;São Paulo;São Paulo;05513-100;BR;Brazil;AnnaCavalcantiMartins@superrito.com;3110;0.04;14;1;0;0;1;1;5;2081;44;Ligacao;0;SP;superrito.com
35;Sr.;Luan;Sousa;58;Masculino;Rua Acrópolis 1745;Campo Grande;Mato Grosso do Sul;79032-090;BR;Brazil;LuanPintoSousa@fleckens.hu;5544;0.35;12;4;0;0;1;6;4;7305;69;SMS;0;MS;fleckens.hu
36;Sr.;Paulo;Carvalho;21;Masculino;Vila São Francisco 1541;Natal;Rio Grande do Norte;59031-205;BR;Brazil;PauloFerreiraCarvalho@dayrep.com;3649;0.87;8;13;0;0;50;40;3;2213;63;Email;1;RN;dayrep.com
37;Sra.;Luiza;Almeida;30;Feminino;Rua Francisco Drumond 1605;Salvador;Bahia;40070-670;BR;Brazil;LuizaAraujoAlmeida@jourrapide.com;5288;0.97;2;6;0;0;35;79;3;3892;31;SMS;1;BA;jourrapide.com
38;Sra.;Marina;Barros;35;Feminino;Avenida Flores 625;Ipatinga;Minas Gerais;35162-264;BR;Brazil;MarinaBarbosaBarros@armyspy.com;6658;0.85;3;12;1;0;22;117;0;1107;87;Ligacao;0;MG;armyspy.com
39;Sr.;Miguel;Cardoso;61;Masculino;Rua Vinte e Nove 1497;Campinas;São Paulo;13081-547;BR;Brazil;MiguelCavalcantiCardoso@superrito.com;8806;0.82;6;12;1;0;48;186;2;7282;67;Email;1;SP;superrito.com
40;Sr.;Rodrigo;Dias;33;Masculino;Rua Quinze 309;João Monlevade;Minas Gerais;35931-243;BR;Brazil;RodrigoRodriguesDias@einrot.com;3385;0.93;13;11;1;3;46;112;1;3220;59;SMS;0;MG;einrot.com
41;Sr.;Luis;Ferreira;36;Masculino;Quadra SHCGN 704 Bloco G 828;Brasília;Distrito Federal;70730-737;BR;Brazil;LuisRochaFerreira@teleworm.us;7668;0.25;4;16;0;2;2;2;4;312;53;Ligacao;0;DF;teleworm.us
42;Sra.;Gabrielle;Sousa;50;Feminino;Rua Irmãos Cameschi 1103;Três Lagoas;Mato Grosso do Sul;79630-170;BR;Brazil;GabrielleDiasSousa@rhyta.com;9788;0.12;1;1;0;0;2;1;4;3696;55;Email;0;MS;rhyta.com
43;Sr.;Thiago;Alves;59;Masculino;Rua 4 1332;Guará;Distrito Federal;71070-504;BR;Brazil;ThiagoMartinsAlves@gustr.com;8055;1.0;7;2;0;2;17;132;1;9151;86;Push;0;DF;gustr.com
44;Sra.;Julieta;Alves;32;Feminino;Rua Angicos 644;Patos de Minas;Minas Gerais;38700-552;BR;Brazil;JulietaMeloAlves@armyspy.com;7812;0.89;15;8;0;3;40;172;0;1108;83;Email;0;MG;armyspy.com
46;Sra.;Leonor;Souza;31;Feminino;Rua Isabel Schmidt 432;São Paulo;São Paulo;04743-030;BR;Brazil;LeonorMartinsSouza@jourrapide.com;4835;0.33;3;2;0;0;2;7;5;4967;41;Push;0;SP;jourrapide.com
47;Sr.;Breno;Castro;30;Masculino;Alameda Ourém 1982;Ananindeua;Pará;67035-155;BR;Brazil;BrenoPereiraCastro@teleworm.us;8854;0.94;6;14;0;2;27;177;1;9188;74;Email;0;PA;teleworm.us
48;Sra.;Ágatha;Ferreira;65;Feminino;Rua Florêncio Coelho Holanda 459;Fortaleza;Ceará;60711-220;BR;Brazil;AgathaSilvaFerreira@fleckens.hu;5318;0.94;14;1;0;0;17;139;0;6048;47;Ligacao;0;CE;fleckens.hu
49;Sra.;Alice;Melo;18;Feminino;Rua Antônio de Souza 493;Três Lagoas;Mato Grosso do Sul;79630-332;BR;Brazil;AlicePereiraMelo@gustr.com;6927;0.85;0;7;0;2;36;96;1;5846;31;Ligacao;0;MS;gustr.com
50;Sra.;Leonor;Cunha;18;Feminino;Rua Antonio Fernando de Abreu 73;Salto;São Paulo;13323-450;BR;Brazil;LeonorGoncalvesCunha@superrito.com;6622;1.0;14;8;1;5;34;110;3;2465;63;Push;1;SP;superrito.com
51;Sr.;André;Silva;57;Masculino;Avenida Brasília 1666;Votorantim;São Paulo;18117-750;BR;Brazil;AndreFernandesSilva@teleworm.us;5607;1.0;0;6;0;3;24;124;3;447;81;Email;1;SP;teleworm.us
52;Sra.;Amanda;Ferreira;54;Feminino;1ª Travessa Botafogo 7;Salvador;Bahia;40275-800;BR;Brazil;AmandaSantosFerreira@teleworm.us;6101;0.43;8;17;1;0;1;4;4;5438;55;SMS;1;BA;teleworm.us
53;Sr.;Murilo;Rodrigues;52;Masculino;Rua Cruz e Souza 41;Itajaí;Santa Catarina;88301-540;BR;Brazil;MuriloCunhaRodrigues@fleckens.hu;5336;0.99;9;9;0;0;28;48;2;1060;74;Ligacao;1;SC;fleckens.hu
54;Sra.;Isabelle;Araujo;64;Feminino;Rua Professor Glicério Rodrigues 298;Caçapava;São Paulo;12281-240;BR;Brazil;IsabellePintoAraujo@cuvox.de;3014;0.95;5;20;0;4;44;89;1;7846;90;Ligacao;0;SP;cuvox.de
55;Sr.;Tiago;Castro;22;Masculino;Rua Glycia Pedroso Fenerich 169;Jaboticabal;São Paulo;14871-835;BR;Brazil;TiagoAraujoCastro@dayrep.com;6854;0.43;15;15;0;4;2;6;4;7888;76;Ligacao;1;SP;dayrep.com
56;Sr.;Pedro;Pinto;19;Masculino;Rua Paço Imperial 1437;São Paulo;São Paulo;03572-040;BR;Brazil;PedroAlmeidaPinto@teleworm.us;9894;1.0;5;17;0;3;14;68;0;705;83;Push;1;SP;teleworm.us
57;Sra.;Clara;Costa;23;Feminino;Avenida José de Paiva 1207;São João da Boa Vista;São Paulo;13870-348;BR;Brazil;ClaraOliveiraCosta@dayrep.com;9131;0.05;8;10;0;2;2;8;4;6461;41;SMS;1;SP;dayrep.com
64;Sr.;Kauê;Cunha;39;Masculino;Rua João Roma 1986;Recife;Pernambuco;52121-410;BR;Brazil;KaueCostaCunha@jourrapide.com;9401;0.09;14;4;0;4;3;4;5;5462;80;Push;1;PE;jourrapide.com
65;Sr.;Davi;Souza;52;Masculino;Avenida Cândido Garcia de Lima 1323;Campo Grande;Mato Grosso do Sul;79017-120;BR;Brazil;DaviCavalcantiSouza@gustr.com;4975;0.13;4;17;0;2;3;1;4;2681;37;Ligacao;1;MS;gustr.com
66;Sra.;Lara;Martins;27;Feminino;Rua Vitória Colonna 1534;São Paulo;São Paulo;03737-120;BR;Brazil;LaraMeloMartins@teleworm.us;8895;1.0;0;15;0;3;25;192;0;8393;66;Push;1;SP;teleworm.us
67;Sr.;Vitór;Oliveira;53;Masculino;Rua Cuim 788;São Paulo;São Paulo;08223-280;BR;Brazil;VitorCorreiaOliveira@superrito.com;4035;1.0;0;12;0;5;37;86;3;2664;37;Push;1;SP;superrito.com
68;Sr.;Arthur;Sousa;43;Masculino;Viela Três 1705;São Paulo;São Paulo;08321-080;BR;Brazil;ArthurAlvesSousa@superrito.com;7236;0.28;7;16;0;4;2;5;4;3988;38;Push;1;SP;superrito.com
69;Sra.;Amanda;Ribeiro;34;Feminino;Rua C 133 377;Goiânia;Goiás;74255-210;BR;Brazil;AmandaAzevedoRibeiro@dayrep.com;9897;0.27;7;5;1;2;2;5;4;4678;45;Push;1;GO;dayrep.com
70;Sra.;Nicole;Almeida;58;Feminino;Rua Raimundo Bastos da Silva 1797;Natal;Rio Grande do Norte;59064-610;BR;Brazil;NicoleCunhaAlmeida@teleworm.us;7894;0.45;10;0;0;3;1;1;5;5583;48;Ligacao;1;RN;teleworm.us
71;Sra.;Ágatha;Pereira;53;Feminino;Rua Henrique Demathe 70;Jaraguá do Sul;Santa Catarina;89265-730;BR;Brazil;AgathaSilvaPereira@cuvox.de;7108;1.0;10;19;0;2;22;158;2;1446;55;Email;1;SC;cuvox.de
72;Sr.;João;Ferreira;49;Masculino;Rua Margarida de Andrade 40;Rio de Janeiro;Rio de Janeiro;20751-140;BR;Brazil;JoaoCastroFerreira@fleckens.hu;6330;0.96;0;10;0;4;22;81;3;7017;63;SMS;1;RJ;fleckens.hu
73;Sr.;Eduardo;Barbosa;53;Masculino;Travessa Santa Amália 1398;Maceió;Alagoas;57035-730;BR;Brazil;EduardoFerreiraBarbosa@teleworm.us;8188;0.96;12;15;1;0;28;59;1;2515;64;Ligacao;1;AL;teleworm.us
74;Sra.;Ágatha;Barros;41;Feminino;Rua Aneci Correa 1762;Novo Hamburgo;Rio Grande do Sul;93530-591;BR;Brazil;AgathaPintoBarros@armyspy.com;4189;0.29;6;14;0;4;2;6;5;255;71;Email;1;RS;armyspy.com
75;Sra.;Raissa;Fernandes;49;Feminino;Rua Imbire 1177;São Paulo;São Paulo;04950-080;BR;Brazil;RaissaFerreiraFernandes@einrot.com;4643;0.46;8;17;0;4;3;3;5;3914;72;Ligacao;1;SP;einrot.com
76;Sr.;Ryan;Araujo;35;Masculino;Rua Rio do Quilombo 1923;São Carlos;São Paulo;13565-150;BR;Brazil;RyanSilvaAraujo@rhyta.com;8569;0.95;9;20;1;0;47;53;0;5095;34;Push;1;SP;rhyta.com
77;Sr.;Pedro;Melo;20;Masculino;Rua Nossa Senhora do Amparo 1916;Belo Horizonte;Minas Gerais;31870-140;BR;Brazil;PedroCostaMelo@dayrep.com;6710;0.35;15;5;1;3;2;0;4;2001;69;Ligacao;0;MG;dayrep.com
78;Sra.;Isabella;Lima;19;Feminino;Rua Iraci Marcelino Vieira 545;Uberlândia;Minas Gerais;38410-116;BR;Brazil;IsabellaCarvalhoLima@teleworm.us;8795;0.93;13;15;1;4;44;176;2;8230;34;Ligacao;1;MG;teleworm.us
79;Sr.;Kauê;Castro;28;Masculino;Rua Athenas 1091;Manaus;Amazonas;69045-020;BR;Brazil;KaueCavalcantiCastro@cuvox.de;7150;0.8;5;0;0;2;24;193;2;7566;64;Ligacao;1;AM;cuvox.de
80;Sra.;Vitória;Martins;40;Feminino;Rua Graciliano Ramos 1416;Caxias do Sul;Rio Grande do Sul;95095-535;BR;Brazil;VitoriaSilvaMartins@superrito.com;7391;0.92;9;5;1;5;33;94;0;4652;42;Email;1;RS;superrito.com
81;Sr.;Felipe;Cardoso;61;Masculino;Travessa Milton Cruz 1579;São Leopoldo;Rio Grande do Sul;93042-380;BR;Brazil;FelipeCostaCardoso@dayrep.com;7406;0.07;12;7;0;5;2;1;5;3874;63;Email;0;RS;dayrep.com
89;Sra.;Julia;Azevedo;51;Feminino;Rua Filipe Nicoletti 658;São Paulo;São Paulo;03728-240;BR;Brazil;JuliaRochaAzevedo@fleckens.hu;6863;0.87;4;8;1;3;28;183;1;6890;70;SMS;1;SP;fleckens.hu
91;Sra.;Laura;Fernandes;54;Feminino;Rua Paolo Periotto 1063;São Carlos;São Paulo;13571-618;BR;Brazil;LauraOliveiraFernandes@jourrapide.com;8115;0.12;14;7;0;0;3;8;5;486;64;Email;0;SP;jourrapide.com
92;Sr.;Tiago;Ribeiro;45;Masculino;Rua Zaíra 1653;São Paulo;São Paulo;01252-060;BR;Brazil;TiagoOliveiraRibeiro@teleworm.us;3736;0.47;14;9;0;5;2;7;5;9918;57;Push;0;SP;teleworm.us
93;Sra.;Larissa;Oliveira;26;Feminino;Rua Fernando 647;São Paulo;São Paulo;04477-480;BR;Brazil;LarissaLimaOliveira@fleckens.hu;9627;0.2;7;14;0;5;1;8;5;9218;36;Push;0;SP;fleckens.hu
94;Sra.;Vitoria;Barros;57;Feminino;Avenida Doutor Fernando do Couto Malta 975;Maceió;Alagoas;57073-030;BR;Brazil;VitoriaPereiraBarros@cuvox.de;5452;0.42;7;2;0;0;3;7;4;9109;54;Ligacao;0;AL;cuvox.de
96;Sr.;Kauê;Castro;47;Masculino;Travessa Pernambuco 707;Foz do Iguaçu;Paraná;85852-220;BR;Brazil;KaueRibeiroCastro@rhyta.com;7057;0.06;8;2;1;4;2;6;5;4240;48;Email;0;PR;rhyta.com
97;Sr.;Marcos;Martins;27;Masculino;Rua Soldado Clóvis de Castro 314;Rio de Janeiro;Rio de Janeiro;21842-450;BR;Brazil;MarcosCunhaMartins@superrito.com;6008;0.85;8;17;0;2;16;141;2;3184;43;Push;1;RJ;superrito.com
98;Sra.;Sarah;Ribeiro;21;Feminino;Rua Madalena 625;Guarulhos;São Paulo;07113-150;BR;Brazil;SarahCardosoRibeiro@superrito.com;7648;0.84;2;10;0;3;20;71;2;9425;71;Ligacao;1;SP;superrito.com
99;Sr.;Kauê;Gomes;44;Masculino;Rua Alagoas 1331;Andradina;São Paulo;16901-314;BR;Brazil;KaueMartinsGomes@fleckens.hu;3427;0.82;10;5;1;1;15;134;1;7969;59;SMS;1;SP;fleckens.hu
100;Sr.;Enzo;Gomes;19;Masculino;Rua Arco de Baixo 19;Camaçari;Bahia;42804-700;BR;Brazil;EnzoSouzaGomes@gustr.com;5937;1.0;1;4;0;2;33;96;2;1328;77;Email;1;BA;gustr.com
101;Sra.;Sophia;Cardoso;35;Feminino;Avenida do Dique Pequeno 1025;Salvador;Bahia;40240-315;BR;Brazil;SophiaFernandesCardoso@fleckens.hu;9073;0.05;8;14;1;3;1;1;4;5472;81;Ligacao;0;BA;fleckens.hu
102;Sr.;Tiago;Costa;57;Masculino;Rua São Domingos 306;Fortaleza;Ceará;60356-840;BR;Brazil;TiagoFernandesCosta@teleworm.us;8365;0.48;15;7;0;5;1;0;4;9689;67;Ligacao;0;CE;teleworm.us
103;Sr.;Samuel;Martins;57;Masculino;Avenida Sorocaba 1477;Barueri;São Paulo;06447-180;BR;Brazil;SamuelPereiraMartins@rhyta.com;4018;0.35;10;14;0;5;3;2;4;2373;44;SMS;0;SP;rhyta.com
104;Sra.;Julieta;Castro;51;Feminino;Rua Sebastiana Teixeira de Carvalho 1867;Campinas;São Paulo;13050-192;BR;Brazil;JulietaSilvaCastro@cuvox.de;7445;0.84;2;8;0;1;24;178;2;7413;80;Email;1;SP;cuvox.de
105;Sra.;Lara;Araujo;58;Feminino;Rua Dom João A. Santos 21;Goiânia;Goiás;74780-035;BR;Brazil;LaraCavalcantiAraujo@jourrapide.com;9476;0.85;7;0;0;5;15;66;2;3806;79;SMS;1;GO;jourrapide.com
106;Sr.;Thiago;Rocha;41;Masculino;Travessa São Tarcisio 124;Natal;Rio Grande do Norte;59073-111;BR;Brazil;ThiagoSantosRocha@einrot.com;4310;0.46;10;18;1;0;3;2;4;2477;54;Push;0;RN;einrot.com
107;Sr.;Luís;Dias;65;Masculino;Rua Montes Claros 1470;Ribeirão das Neves;Minas Gerais;33943-390;BR;Brazil;LuisMeloDias@cuvox.de;6424;0.83;5;12;1;0;44;172;0;6342;53;SMS;1;MG;cuvox.de
108;Sr.;Lucas;Ferreira;25;Masculino;Rua Projetada I 156;Manaus;Amazonas;69039-730;BR;Brazil;LucasGomesFerreira@jourrapide.com;7891;0.02;9;19;0;5;1;7;5;5232;56;Push;0;AM;jourrapide.com
109;Sra.;Julieta;Santos;37;Feminino;Rua J 68 1897;Goiânia;Goiás;74674-350;BR;Brazil;JulietaCunhaSantos@fleckens.hu;4842;0.3;2;7;0;4;1;8;4;5009;34;Email;0;GO;fleckens.hu
110;Sr.;Luís;Cunha;35;Masculino;Parque Urbano Santos 1755;São Luís;Maranhão;65020-610;BR;Brazil;LuisBarrosCunha@jourrapide.com;8728;0.41;13;12;0;4;2;7;4;6609;32;Ligacao;0;MA;jourrapide.com
111;Sra.;Manuela;Castro;53;Feminino;Rua Santa Cristina 1744;Fortaleza;Ceará;60761-110;BR;Brazil;ManuelaSantosCastro@jourrapide.com;5709;0.27;4;16;0;3;2;7;5;4362;35;Ligacao;0;CE;jourrapide.com
112;Sr.;Rafael;Martins;42;Masculino;Rua Catarina Staack 195;Brusque;Santa Catarina;88352-480;BR;Brazil;RafaelSilvaMartins@rhyta.com;8550;0.86;4;1;0;2;47;175;1;6293;87;Email;1;SC;rhyta.com
113;Sr.;Alex;Barros;58;Masculino;Rua R 17 300;Goiânia;Goiás;74690-420;BR;Brazil;AlexGoncalvesBarros@fleckens.hu;4177;1.0;7;7;0;0;38;134;0;1523;65;Ligacao;1;GO;fleckens.hu
114;Sra.;Alice;Rocha;43;Feminino;Rua 3 1923;Aparecida de Goiânia;Goiás;74973-030;BR;Brazil;AliceBarbosaRocha@gustr.com;6403;0.99;14;14;0;3;37;163;1;555;54;Email;1;GO;gustr.com
115;Sr.;Gustavo;Costa;63;Masculino;Rua Lauro Leite Martins 333;Maceió;Alagoas;57025-760;BR;Brazil;GustavoCorreiaCosta@einrot.com;9093;0.03;14;2;0;5;2;0;4;920;37;Email;0;AL;einrot.com
116;Sra.;Ágatha;Alves;45;Feminino;Rua Júlio Tellini 39;Franca;São Paulo;14401-090;BR;Brazil;AgathaRodriguesAlves@dayrep.com;4493;0.82;8;9;0;5;15;53;3;8684;90;SMS;1;SP;dayrep.com
117;Sra.;Eduarda;Almeida;61;Feminino;Rua do Ferro 1370;Santa Bárbara D'Oeste;São Paulo;13456-413;BR;Brazil;EduardaDiasAlmeida@rhyta.com;8571;1.0;8;9;0;0;30;127;0;1990;41;Push;1;SP;rhyta.com
118;Sra.;Carla;Melo;18;Feminino;Avenida da Natureza 1910;Campo Mourão;Paraná;87310-220;BR;Brazil;CarlaBarrosMelo@gustr.com;5101;0.89;12;9;0;4;48;35;3;2420;40;Push;1;PR;gustr.com
119;Sra.;Melissa;Castro;19;Feminino;Rua Acre 899;Avaré;São Paulo;18705-580;BR;Brazil;MelissaAlmeidaCastro@rhyta.com;6521;0.13;13;11;0;2;1;0;5;7213;81;Push;0;SP;rhyta.com
120;Sr.;Kai;Cardoso;51;Masculino;Rua Ladislau Nunes dos Santos 1084;Cotia;São Paulo;06700-115;BR;Brazil;KaiSilvaCardoso@dayrep.com;8141;0.87;2;18;0;2;48;85;2;6885;85;Ligacao;1;SP;dayrep.com
121;Sra.;Clara;Pereira;47;Feminino;Rua Tel Aviv 1065;Cotia;São Paulo;06711-300;BR;Brazil;ClaraFernandesPereira@cuvox.de;5296;0.21;4;4;0;1;1;5;5;6543;84;Email;0;SP;cuvox.de
122;Sra.;Alice;Sousa;36;Feminino;Rua São Cristóvão 1680;Campo Grande;Mato Grosso do Sul;79116-240;BR;Brazil;AliceGoncalvesSousa@einrot.com;4598;0.38;13;20;0;4;3;5;5;4850;52;SMS;0;MS;einrot.com
123;Sr.;Tiago;Santos;23;Masculino;Rua Cecília Marques da Luz 470;Curitiba;Paraná;82630-100;BR;Brazil;TiagoSilvaSantos@superrito.com;7603;0.34;15;12;1;0;2;4;4;7068;89;SMS;0;PR;superrito.com
124;Sra.;Giovana;Rocha;54;Feminino;Alameda Trinta e Três 1893;Volta Redonda;Rio de Janeiro;27279-350;BR;Brazil;GiovanaGomesRocha@armyspy.com;3350;0.47;1;7;0;5;1;2;4;3760;48;Email;0;RJ;armyspy.com
125;Dr.;Amanda;Rocha;43;Feminino;Rua da Árvore 167;Goiânia;Goiás;74375-621;BR;Brazil;AmandaAraujoRocha@dayrep.com;4163;0.14;6;2;0;3;3;8;4;4457;66;SMS;0;GO;dayrep.com
126;Sra.;Camila;Oliveira;66;Feminino;Rua Severrina Maria da Conceição 1312;João Pessoa;Paraíba;58073-325;BR;Brazil;CamilaAlmeidaOliveira@einrot.com;9713;0.84;6;10;0;0;46;48;3;6663;57;Ligacao;1;PB;einrot.com
127;Sr.;Luan;Oliveira;31;Masculino;Alameda Babilônia 1180;Bauru;São Paulo;17067-610;BR;Brazil;LuanCorreiaOliveira@armyspy.com;8200;0.92;7;17;0;3;34;187;0;9396;85;Email;1;SP;armyspy.com
128;Sr.;Mateus;Lima;20;Masculino;Alameda Um 1527;Belém;Pará;66816-290;BR;Brazil;MateusAraujoLima@cuvox.de;4055;1.0;15;16;0;1;47;47;3;271;79;Push;1;PA;cuvox.de
